Identifier from Copilot,Title from Copilot,"Implementation Applicable (Y or N/A)",Identifier from ISM,Description from ISM
ISM-0558,Public-area IP phones restricted from data/network access,Not Assessed,ISM-0558,"IP phones used in public areas do not have the ability to access data networks, voicemail and directory services."
ISM-0559,Microphones/webcams not used with non-SECRET workstations in SECRET areas,Not Assessed,ISM-0559,Microphones (including headsets and USB handsets) and webcams are not used with non-SECRET workstations in SECRET areas.
ISM-1450,Microphones/webcams not used with non-TOP SECRET workstations in TOP SECRET areas,Not Assessed,ISM-1450,Microphones (including headsets and USB handsets) and webcams are not used with non-TOP SECRET workstations in TOP SECRET areas.
ISM-1019,Denial-of-service plan for conferencing/IP telephony maintained,Not Assessed,ISM-1019,"A denial of service response plan for video conferencing and IP telephony services is developed, implemented and maintained."
ISM-1805,"DOS plan contains detection, source ID, continuity and response actions",Not Assessed,ISM-1805,"A denial of service response plan for video conferencing and IP telephony services contains the following:
• how to identify signs of a denial-of-service attack
• how to identify the source of a denial-of-service attack
• how capabilities can be maintained during a denial-of-service attack
• what actions can be taken to respond to a denial-of-service attack."
ISM-0588,MFD usage policy maintained,Not Assessed,ISM-0588,"An MFD usage policy is developed, implemented and maintained."
ISM-0245,MFDs not connected to digital telephone systems,Not Assessed,ISM-0245,MFDs are not connected to digital telephone systems.
ISM-1854,Authenticate to MFDs before print/scan/copy,Not Assessed,ISM-1854,"Users authenticate to MFDs before they can print, scan or copy documents."
ISM-0590,MFD authentication strength equals connected network workstations,Not Assessed,ISM-0590,Authentication measures for MFDs are the same strength as those used for workstations on networks they are connected to.
ISM-0589,MFDs not used for high sensitivity scanning/copying,Not Assessed,ISM-0589,MFDs are not used to scan or copy documents above the sensitivity or classification of networks they are connected to.
ISM-1855,MFD print/scan/copy actions centrally logged,Not Assessed,ISM-1855,"Use of MFDs for printing, scanning and copying purposes, including the capture of shadow copies of documents, are centrally logged."
ISM-1036,MFDs located where use observable,Not Assessed,ISM-1036,MFDs are located in areas where their use can be observed.
ISM-2075,Do not use fax or online fax services,Not Assessed,ISM-2075,"Fax machines, and online fax services, are not used for sending or receiving fax messages."
ISM-1297,Seek legal advice before allowing private devices access,Not Assessed,ISM-1297,Legal advice is sought prior to allowing privately-owned mobile devices and desktop computers to access systems or data.
ISM-1400,Enforce separation of classified data on private devices,Not Assessed,ISM-1400,Personnel accessing OFFICIAL: Sensitive or PROTECTED systems or data using privately-owned mobile devices or desktop computers have enforced separation of classified data from personal data.
ISM-1866,Prevent storage of classified data on private devices,Not Assessed,ISM-1866,Personnel accessing OFFICIAL: Sensitive or PROTECTED systems or data using privately-owned mobile devices or desktop computers are prevented from storing classified data on their privately-owned mobile devices and desktop computers.
ISM-0694,Private devices do not access SECRET/TOP SECRET systems,Not Assessed,ISM-0694,Privately-owned mobile devices and desktop computers do not access SECRET and TOP SECRET systems or data.
ISM-1482,Enforce separation of classified data on org-owned devices,Not Assessed,ISM-1482,Personnel accessing systems or data using an organisation-owned mobile device or desktop computer have enforced separation of classified data from personal data.
ISM-0874,VPN to org gateway for internet access from devices,Not Assessed,ISM-0874,Mobile devices and desktop computers access the internet via a VPN connection to an organisation’s internet gateway rather than via a direct connection to the internet.
ISM-0705,Disable split tunnelling for VPNs,Not Assessed,ISM-0705,"When accessing an organisation’s network via a VPN connection, split tunnelling is disabled."
ISM-1533,Mobile device management policy maintained,Not Assessed,ISM-1533,"A mobile device management policy is developed, implemented and maintained."
ISM-1195,Use evaluated MDM solutions per Protection Profile,Not Assessed,ISM-1195,"Mobile Device Management solutions that have completed a Common Criteria evaluation against the Protection Profile for Mobile Device Management, version 4.0 or later, are used to enforce mobile device management policy."
ISM-1867,Use evaluated mobile platforms and follow ASD configs,Not Assessed,ISM-1867,"Mobile devices that access OFFICIAL: Sensitive or PROTECTED systems or data use mobile platforms that have completed a Common Criteria evaluation against the Protection Profile for Mobile Device Fundamentals, version 3.3 or later, and are operated in accordance with the latest version of their associated ASD security configuration guide."
ISM-0687,SECRET/TOP SECRET mobile devices use ASD-approved platforms,Not Assessed,ISM-0687,Mobile devices that access SECRET or TOP SECRET systems or data use mobile platforms that have been issued an Approval for Use by ASD and are operated in accordance with the latest version of their associated Australian Communications Security Instruction.
ISM-0869,Mobile devices encrypt internal storage/removable media,Not Assessed,ISM-0869,Mobile devices encrypt their internal storage and any removable media.
ISM-1868,SECRET/TOP SECRET mobile devices restrict removable media,Not Assessed,ISM-1868,SECRET and TOP SECRET mobile devices do not use removable media unless approved beforehand by ASD.
ISM-1085,Mobile devices encrypt sensitive/classified data over public networks,Not Assessed,ISM-1085,Mobile devices encrypt all sensitive or classified data communicated over public network infrastructure.
ISM-1886,Mobile devices operated in supervised mode,Not Assessed,ISM-1886,Mobile devices are configured to operate in a supervised (or equivalent) mode.
ISM-1887,Mobile devices have remote locate & wipe,Not Assessed,ISM-1887,Mobile devices are configured with remote locate and wipe functionality.
ISM-1888,Mobile devices have secure lock screens,Not Assessed,ISM-1888,Mobile devices are configured with secure lock screens.
ISM-0863,Prevent installation of non-approved apps on mobile devices,Not Assessed,ISM-0863,Mobile devices prevent personnel from installing non-approved applications once provisioned.
ISM-0864,Prevent disabling/modifying security on mobile devices,Not Assessed,ISM-0864,Mobile devices prevent personnel from disabling or modifying security functionality once provisioned.
ISM-1366,Apply security updates to mobile devices promptly,Not Assessed,ISM-1366,Security updates are applied to mobile devices as soon as they become available.
ISM-1082,Mobile device usage policy maintained,Not Assessed,ISM-1082,"A mobile device usage policy is developed, implemented and maintained."
ISM-1083,Personnel advised of permitted sensitivity for mobile communications,Not Assessed,ISM-1083,Personnel are advised of the sensitivity or classification permitted for voice and data communications when using mobile devices.
ISM-1299,Mobile device travel precautions and hygiene guidance,Not Assessed,ISM-1299,"Personnel are advised to take the following precautions when using mobile devices:
• never leave mobile devices or removable media unattended, including by placing them in checked-in luggage or leaving them in hotel safes
• never store credentials with mobile devices that they grant access to, such as in laptop computer bags
• never lend mobile devices or removable media to untrusted people, even if briefly
• never allow untrusted people to connect their mobile devices or removable media to your mobile devices, including for charging
• never connect mobile devices to designated charging stations or wall outlet charging ports
• never use gifted or unauthorised peripherals, chargers or removable media with mobile devices
• never use removable media for data transfers or backups that have not been checked for malicious code beforehand
• avoid reuse of removable media once used with other parties’ systems or mobile devices
• avoid connecting mobile devices to open or untrusted Wi-Fi networks
• consider disabling any communications capabilities of mobile devices when not in use, such as Wi-Fi, Bluetooth, Near Field Communication and ultra-wideband
• consider periodically rebooting mobile devices
• consider using a VPN connection to encrypt all cellular and wireless communications
• consider using encrypted email or messaging apps for all communications."
ISM-0240,Do not use SMS/MMS/pagers/messaging apps for sensitive data,Not Assessed,ISM-0240,"Paging, Multimedia Message Service, Short Message Service and messaging apps are not used to communicate sensitive or classified data."
ISM-1196,Non-classified mobile devices remain undiscoverable except pairing,Not Assessed,ISM-1196,"Non-classified, OFFICIAL: Sensitive and PROTECTED mobile devices are configured to remain undiscoverable to other Bluetooth devices except during Bluetooth pairing."
ISM-1200,Bluetooth pairing uses Secure Connections/Numeric Comparison,Not Assessed,ISM-1200,"Bluetooth pairing for non-classified, OFFICIAL: Sensitive and PROTECTED mobile devices is performed using Secure Connections, preferably with Numeric Comparison if supported."
ISM-1198,Bluetooth pairing limited to intended devices,Not Assessed,ISM-1198,"Bluetooth pairing for non-classified, OFFICIAL: Sensitive and PROTECTED mobile devices is performed in a manner such that connections are only made between intended Bluetooth devices."
ISM-1199,Remove Bluetooth pairings when no longer required,Not Assessed,ISM-1199,"Bluetooth pairings for non-classified, OFFICIAL: Sensitive and PROTECTED mobile devices are removed when there is no longer a requirement for their use."
ISM-0682,Disable Bluetooth on SECRET/TOP SECRET devices,Not Assessed,ISM-0682,Bluetooth functionality is not enabled on SECRET and TOP SECRET mobile devices.
ISM-0866,Avoid viewing sensitive data on mobile devices in public,Not Assessed,ISM-0866,Sensitive or classified data is not viewed on mobile devices in public locations unless care is taken to reduce the chance of the screen of a mobile device being observed.
ISM-1145,Apply privacy filters on SECRET/TOP SECRET device screens,Not Assessed,ISM-1145,Privacy filters are applied to the screens of SECRET and TOP SECRET mobile devices.
ISM-1644,Avoid sensitive calls in public without precautions,Not Assessed,ISM-1644,Sensitive or classified phone calls and conversations are not conducted in public locations unless care is taken to reduce the chance of conversations being overheard.
ISM-0871,Keep mobile devices under direct supervision when used,Not Assessed,ISM-0871,Mobile devices are kept under continual direct supervision when being actively used.
ISM-0870,Carry/store mobile devices in secured state when not used,Not Assessed,ISM-0870,Mobile devices are carried or stored in a secured state when not being actively used.
ISM-1084,"If unable to secure, transfer devices in approved secure containers",Not Assessed,ISM-1084,"If unable to carry or store mobile devices in a secured state, they are physically transferred in a security briefcase or an approved multi-use satchel, pouch or transit bag."
ISM-0701,Mobile device emergency sanitisation processes maintained,Not Assessed,ISM-0701,"Mobile device emergency sanitisation processes, and supporting mobile device emergency sanitisation procedures, are developed, implemented and maintained."
ISM-0702,Use cryptographic zeroise/sanitise for SECRET/TOP SECRET devices,Not Assessed,ISM-0702,"If a cryptographic zeroise or sanitise function is provided for cryptographic keys on a SECRET or TOP SECRET mobile device, the function is used as part of mobile device emergency sanitisation processes and procedures."
ISM-1298,Advise personnel of risks travelling overseas with mobile devices,Not Assessed,ISM-1298,Personnel are advised of privacy and security risks when travelling overseas with mobile devices.
ISM-1554,High-risk country travel: provisioned travel devices and tamper seals,Not Assessed,ISM-1554,"If travelling overseas with mobile devices to high or extreme risk countries, personnel are:
• issued with newly provisioned user accounts, mobile devices and removable media from a pool of dedicated travel devices which are used solely for work-related activities
• advised on how to apply and inspect tamper seals to key areas of mobile devices
• advised to avoid taking any personal mobile devices, especially if rooted or jailbroken."
ISM-1555,Pre-travel mobile device preparation checklist,Not Assessed,ISM-1555,"Before travelling overseas with mobile devices, personnel take the following actions:
• record all details of the mobile devices being taken, such as product types, serial numbers and International Mobile Equipment Identity numbers
• update all operating systems and applications
• remove all non-essential data, applications and user accounts
• backup all remaining data, applications and settings."
ISM-1088,Report potential compromise of mobile devices promptly,Not Assessed,ISM-1088,"Personnel report the potential compromise of mobile devices, removable media or credentials to their organisation as soon as possible, especially if they:
• provide credentials to foreign government officials
• decrypt mobile devices for foreign government officials
• have mobile devices taken out of sight by foreign government officials
• have mobile devices or removable media stolen, including if later returned
• lose mobile devices or removable media, including if later found
• observe unusual behaviour of mobile devices."
ISM-1300,"Post-travel sanitise, reset credentials and report doubts",Not Assessed,ISM-1300,"Upon returning from travelling overseas with mobile devices, personnel take the following actions:
• sanitise and reset mobile devices, including all removable media
• decommission any credentials that left their possession during their travel
• report if significant doubt exists as to the integrity of any mobile devices or removable media."
ISM-1556,Post-high-risk travel reset credentials and monitor accounts,Not Assessed,ISM-1556,"If returning from travelling overseas with mobile devices to high or extreme risk countries, personnel take the following additional actions:
• reset credentials used with mobile devices, including those used for remote access to their organisation’s systems
• monitor user accounts for any indicators of compromise, such as failed logon attempts."
ISM-0280,Prefer PP-evaluated products when procuring evaluated products,Not Assessed,ISM-0280,"If procuring an evaluated product, a product that has completed a PP-based evaluation, including against all applicable PP modules (as well as a software bill of materials assessment if applicable), is selected in preference to one that has completed an EAL-based evaluation."
ISM-0285,Deliver evaluated products per evaluation docs,Not Assessed,ISM-0285,Evaluated products are delivered in a manner consistent with any delivery procedures defined in associated evaluation documentation.
ISM-0286,Contact ASD for high-assurance IT delivery procedures,Not Assessed,ISM-0286,"When procuring high assurance information technology (IT) equipment, ASD is contacted for any equipment-specific delivery procedures."
ISM-0289,Install evaluated products in evaluated configuration per vendor guidance,Not Assessed,ISM-0289,"Evaluated products are installed, configured, administered and operated in an evaluated configuration and in accordance with vendor guidance."
ISM-0290,High-assurance IT operated per ASD guidance and evaluated config,Not Assessed,ISM-0290,"High assurance IT equipment is installed, configured, administered and operated in an evaluated configuration and in accordance with ASD guidance."
ISM-1551,IT equipment management policy maintained,Not Assessed,ISM-1551,"An IT equipment management policy is developed, implemented and maintained."
ISM-1913,Approved configurations for IT equipment maintained,Not Assessed,ISM-1913,"Approved configurations for IT equipment are developed, implemented and maintained."
ISM-1858,Harden IT equipment using ASD/vendor guidance (most restrictive),Not Assessed,ISM-1858,"IT equipment is hardened using ASD and vendor hardening guidance, with the most restrictive guidance taking precedence when conflicts occur."
ISM-0336,Networked IT equipment register maintained,Not Assessed,ISM-0336,"A networked IT equipment register is developed, implemented, maintained and verified on a regular basis."
ISM-1869,Non-networked IT equipment register maintained,Not Assessed,ISM-1869,"A non-networked IT equipment register is developed, implemented, maintained and verified on a regular basis."
ISM-0294,Label IT equipment (except high-assurance) with protective markings,Not Assessed,ISM-0294,"IT equipment, with the exception of high assurance IT equipment, is labelled with protective markings reflecting its sensitivity or classification."
ISM-0296,Seek ASD approval before labeling high-assurance external surfaces,Not Assessed,ISM-0296,ASD’s approval is sought before applying labels to external surfaces of high assurance IT equipment.
ISM-0293,Classify IT equipment by highest data sensitivity it can handle,Not Assessed,ISM-0293,"IT equipment is classified based on the highest sensitivity or classification of data that it is approved for processing, storing or communicating."
ISM-1599,Handle IT equipment suitably for its sensitivity,Not Assessed,ISM-1599,IT equipment is handled in a manner suitable for its sensitivity or classification.
ISM-1079,Seek ASD approval before maintenance on high-assurance equipment,Not Assessed,ISM-1079,ASD’s approval is sought before undertaking any maintenance or repairs to high assurance IT equipment.
ISM-0305,On-site maintenance by appropriately cleared technician,Not Assessed,ISM-0305,Maintenance and repairs of IT equipment is carried out on site by an appropriately cleared technician.
ISM-0307,"If not cleared, sanitise equipment or escort technician",Not Assessed,ISM-0307,"If an appropriately cleared technician is not used to undertake maintenance or repairs of IT equipment, the IT equipment and associated media is sanitised before maintenance or repair work is undertaken."
ISM-0306,"Escort non-cleared technician with cleared, briefed escort",Not Assessed,ISM-0306,"If an appropriately cleared technician is not used to undertake maintenance or repairs of IT equipment, the technician is escorted by someone who:
• is appropriately cleared and briefed
• takes due care to ensure that data is not disclosed
• takes all responsible measures to ensure the integrity of the IT equipment
• has the authority to direct the technician
• is sufficiently familiar with the IT equipment to understand the work being performed."
ISM-0310,Off-site maintenance at approved facilities,Not Assessed,ISM-0310,IT equipment maintained or repaired off site is done so at facilities approved for handling the sensitivity or classification of the IT equipment.
ISM-1598,Post-maintenance inspection confirms configuration and integrity,Not Assessed,ISM-1598,"Following maintenance or repair activities for IT equipment, the IT equipment is inspected to confirm it retains its approved configuration and that no unauthorised modifications have taken place."
ISM-0313,IT equipment sanitisation processes maintained,Not Assessed,ISM-0313,"IT equipment sanitisation processes, and supporting IT equipment sanitisation procedures, are developed, implemented and maintained."
ISM-1741,IT equipment destruction processes maintained,Not Assessed,ISM-1741,"IT equipment destruction processes, and supporting IT equipment destruction procedures, are developed, implemented and maintained."
ISM-0311,Sanitise IT equipment by removing or sanitising media,Not Assessed,ISM-0311,IT equipment containing media is sanitised by removing the media from the IT equipment or by sanitising the media in situ.
ISM-1742,Destroy IT equipment that cannot be sanitised,Not Assessed,ISM-1742,IT equipment that cannot be sanitised is destroyed.
ISM-1218,Sanitise overseas equipment in situ processing AUSTEO/AGAO,Not Assessed,ISM-1218,"IT equipment, including associated media, that is located overseas and has processed, stored or communicated AUSTEO or AGAO data, is sanitised in situ."
ISM-0312,Return overseas equipment for destruction if cannot sanitise in situ,Not Assessed,ISM-0312,"IT equipment, including associated media, that is located overseas and has processed, stored or communicated AUSTEO or AGAO data that cannot be sanitised in situ, is returned to Australia for destruction."
ISM-0315,Destroy high-assurance IT equipment before disposal,Not Assessed,ISM-0315,High assurance IT equipment is destroyed prior to its disposal.
ISM-0317,Print random text on each colour printer cartridge/drum,Not Assessed,ISM-0317,At least three pages of random text with no blank areas are printed on each colour printer cartridge or MFD print drum.
ISM-1219,Inspect/destroy MFD print drums if remnant toner visible,Not Assessed,ISM-1219,MFD print drums and image transfer rollers are inspected and destroyed if there is remnant toner which cannot be removed or a print is visible on the image transfer roller.
ISM-1220,Inspect/destroy printer platens if images/text retained,Not Assessed,ISM-1220,Printer and MFD platens are inspected and destroyed if any text or images are retained on the platen.
ISM-1221,Check printers/MFDs for trapped pages after jams,Not Assessed,ISM-1221,Printers and MFDs are checked to ensure no pages are trapped in the paper path due to a paper jam.
ISM-0318,Destroy cartridges/drums as electrostatic memory devices when unsanitizable,Not Assessed,ISM-0318,"When unable to sanitise printer cartridges or MFD print drums, they are destroyed as per electrostatic memory devices."
ISM-1534,Remove and destroy printer ribbons,Not Assessed,ISM-1534,Printer ribbons in printers and MFDs are removed and destroyed.
ISM-1076,Sanitise monitors by displaying solid white image for burn-in,Not Assessed,ISM-1076,Televisions and computer monitors with minor burn-in or image persistence are sanitised by displaying a solid white image on the screen for an extended period of time.
ISM-1222,Destroy monitors that cannot be sanitised,Not Assessed,ISM-1222,Televisions and computer monitors that cannot be sanitised are destroyed.
ISM-1223,Sanitise network device memory per preference order,Not Assessed,ISM-1223,"Memory in network devices is sanitised using the following processes, in order of preference:
• following device-specific guidance provided in evaluation documentation
• following vendor sanitisation guidance
• loading a dummy configuration file, performing a factory reset and then reinstalling firmware."
ISM-1550,IT equipment disposal processes maintained,Not Assessed,ISM-1550,"IT equipment disposal processes, and supporting IT equipment disposal procedures, are developed, implemented and maintained."
ISM-1217,Remove owner/sensitivity markings before disposal,Not Assessed,ISM-1217,"Labels and markings indicating the owner, sensitivity, classification or any other marking that can associate IT equipment with its prior use are removed prior to its disposal."
ISM-0321,Contact ASD for disposal of emanation-secured equipment,Not Assessed,ISM-0321,"When disposing of IT equipment that has been designed or modified to meet emanation security standards, ASD is contacted for requirements relating to its disposal."
ISM-0316,Formal administrative decision to release sanitised/destroyed equipment,Not Assessed,ISM-0316,"Following sanitisation, destruction or declassification, a formal administrative decision is made to release IT equipment, or its waste, into the public domain."
ISM-1549,Media management policy maintained,Not Assessed,ISM-1549,"A media management policy is developed, implemented and maintained."
ISM-1359,Removable media usage policy maintained,Not Assessed,ISM-1359,"A removable media usage policy is developed, implemented and maintained."
ISM-1713,Removable media register maintained,Not Assessed,ISM-1713,"A removable media register is developed, implemented, maintained and verified on a regular basis."
ISM-0332,Label media with protective markings,Not Assessed,ISM-0332,"Media, with the exception of internally mounted fixed media within information technology equipment, is labelled with protective markings reflecting its sensitivity or classification."
ISM-0323,Classify media by highest sensitivity of its contents,Not Assessed,ISM-0323,"Media is classified to the highest sensitivity or classification of data it stores, unless the media has been classified to a higher sensitivity or classification."
ISM-0337,Use media only with authorised systems,Not Assessed,ISM-0337,"Media is only used with systems that are authorised to process, store or communicate its sensitivity or classification."
ISM-0325,Reclassify media when connected to higher sensitivity systems,Not Assessed,ISM-0325,"Any media connected to a system with a higher sensitivity or classification than the media is reclassified to the higher sensitivity or classification, unless the media is read-only or the system has a mechanism through which read-only access can be ensured."
ISM-0330,Sanitise/destroy before lowering media classification,Not Assessed,ISM-0330,"Before reclassifying media to a lower sensitivity or classification, the media is sanitised or destroyed, and a formal administrative decision is made to reclassify it."
ISM-0831,Handle media per sensitivity/classification,Not Assessed,ISM-0831,Media is handled in a manner suitable for its sensitivity or classification.
ISM-1059,Encrypt all data on media,Not Assessed,ISM-1059,All data stored on media is encrypted.
ISM-1600,Sanitise media before first use,Not Assessed,ISM-1600,Media is sanitised before it is used for the first time.
ISM-1642,Sanitise media before reuse in different domain,Not Assessed,ISM-1642,Media is sanitised before it is reused in a different security domain.
ISM-0347,Use write-once media for manual transfers between domains,Not Assessed,ISM-0347,"When transferring data manually between two systems belonging to different security domains, write-once media is used unless the destination system has a mechanism through which read-only access can be ensured."
ISM-0947,Sanitise rewritable media after manual transfer,Not Assessed,ISM-0947,"When transferring data manually between two systems belonging to different security domains, rewritable media is sanitised after each data transfer."
ISM-0348,Media sanitisation processes maintained,Not Assessed,ISM-0348,"Media sanitisation processes, and supporting media sanitisation procedures, are developed, implemented and maintained."
ISM-0351,Volatile media sanitised by removing power >=10 minutes,Not Assessed,ISM-0351,Volatile media is sanitised by removing its power for at least 10 minutes.
ISM-0352,SECRET/TOP SECRET volatile media overwritten & verified,Not Assessed,ISM-0352,SECRET and TOP SECRET volatile media is sanitised by overwriting it at least once in its entirety with a random pattern followed by a read back for verification.
ISM-0835,TOP SECRET volatile media retains classification after extended use,Not Assessed,ISM-0835,"Following sanitisation, TOP SECRET volatile media retains its classification if it stored static data for an extended period of time, or had data repeatedly stored on or written to the same memory location for an extended period of time."
ISM-0354,Non-volatile magnetic media sanitised by overwriting (& verify),Not Assessed,ISM-0354,Non-volatile magnetic media is sanitised by overwriting it at least once (or three times if pre-2001 or under 15 GB) in its entirety with a random pattern followed by a read back for verification.
ISM-1065,Reset HPA/Device config before hard drive sanitisation,Not Assessed,ISM-1065,The host-protected area and device configuration overlay table are reset prior to the sanitisation of non-volatile magnetic hard drives.
ISM-1067,Use ATA secure erase in addition to overwriting,Not Assessed,ISM-1067,"The ATA secure erase command is used, in addition to block overwriting software, to ensure the growth defects table of non-volatile magnetic hard drives is overwritten."
ISM-0356,SECRET/TOP SECRET non-volatile magnetic media retains classification,Not Assessed,ISM-0356,"Following sanitisation, SECRET and TOP SECRET non-volatile magnetic media retains its classification."
ISM-0357,Non-volatile EPROM sanitised by extended UV + overwrite & verify,Not Assessed,ISM-0357,Non-volatile EPROM media is sanitised by applying three times the manufacturer’s specified ultraviolet erasure time and then overwriting it at least once in its entirety with a random pattern followed by a read back for verification.
ISM-0836,EEPROM sanitised by overwrite & verify,Not Assessed,ISM-0836,Non-volatile EEPROM media is sanitised by overwriting it at least once in its entirety with a random pattern followed by a read back for verification.
ISM-0358,SECRET/TOP SECRET EPROM/EEPROM retains classification,Not Assessed,ISM-0358,"Following sanitisation, SECRET and TOP SECRET non-volatile EPROM and EEPROM media retains its classification."
ISM-0359,Flash memory sanitised by overwriting twice & verify,Not Assessed,ISM-0359,Non-volatile flash memory media is sanitised by overwriting it at least twice in its entirety with a random pattern followed by a read back for verification.
ISM-0360,SECRET/TOP SECRET flash retains classification after sanitisation,Not Assessed,ISM-0360,"Following sanitisation, SECRET and TOP SECRET non-volatile flash memory media retains its classification."
ISM-1735,Destroy media that cannot be sanitised,Not Assessed,ISM-1735,Media that cannot be successfully sanitised is destroyed prior to its disposal.
ISM-0363,Media destruction processes maintained,Not Assessed,ISM-0363,"Media destruction processes, and supporting media destruction procedures, are developed, implemented and maintained."
ISM-0350,Certain media types destroyed prior to disposal,Not Assessed,ISM-0350,"The following media types are destroyed prior to their disposal:
• microfiche and microfilm
• optical discs
• programmable read-only memory
• read-only memory
• other types of media that cannot be sanitised."
ISM-1361,Use SCEC/ASIO-approved equipment for media destruction,Not Assessed,ISM-1361,Security Construction and Equipment Committee-approved equipment or ASIO-approved equipment is used when destroying media.
ISM-1160,Use NSA-evaluated degaussers if degaussing,Not Assessed,ISM-1160,"If using degaussers to destroy media, degaussers evaluated by the United States’ National Security Agency are used."
ISM-1517,Use fine-powder-capable equipment for microform destruction,Not Assessed,ISM-1517,"Equipment that is capable of reducing microform to a fine powder, with resultant particles not showing more than five consecutive characters per particle upon microscopic inspection, is used to destroy microfiche and microfilm."
ISM-1722,Destroy electrostatic memory devices using approved equipment,Not Assessed,ISM-1722,"Electrostatic memory devices are destroyed using a furnace/incinerator, hammer mill, disintegrator or grinder/sander."
ISM-1723,Destroy magnetic floppy disks by approved methods,Not Assessed,ISM-1723,"Magnetic floppy disks are destroyed using a furnace/incinerator, hammer mill, disintegrator, degausser or by cutting."
ISM-1724,Destroy magnetic hard disks by approved methods,Not Assessed,ISM-1724,"Magnetic hard disks are destroyed using a furnace/incinerator, hammer mill, disintegrator, grinder/sander or degausser."
ISM-1725,Destroy magnetic tapes by approved methods,Not Assessed,ISM-1725,"Magnetic tapes are destroyed using a furnace/incinerator, hammer mill, disintegrator, degausser or by cutting."
ISM-1726,Destroy optical disks by approved methods,Not Assessed,ISM-1726,"Optical disks are destroyed using a furnace/incinerator, hammer mill, disintegrator, grinder/sander or by cutting."
ISM-1727,Destroy semiconductor memory by approved methods,Not Assessed,ISM-1727,"Semiconductor memory is destroyed using a furnace/incinerator, hammer mill or disintegrator."
ISM-0368,Media waste particles <=9mm after mechanical destruction,Not Assessed,ISM-0368,"Media destroyed using a hammer mill, disintegrator, grinder/sander or by cutting results in media waste particles no larger than 9 mm."
ISM-1728,SECRET media waste handling by particle size,Not Assessed,ISM-1728,"The resulting media waste particles from the destruction of SECRET media is stored and handled as OFFICIAL if less than or equal to 3 mm, PROTECTED if greater than 3 mm and less than or equal to 6 mm, or SECRET if greater than 6 mm and less than or equal to 9 mm."
ISM-1729,TOP SECRET media waste handling by particle size,Not Assessed,ISM-1729,"The resulting media waste particles from the destruction of TOP SECRET media is stored and handled as OFFICIAL if less than or equal to 3 mm, or SECRET if greater than 3 mm and less than or equal to 9 mm."
ISM-0361,Use degausser with suitable field/orientation for magnetic media,Not Assessed,ISM-0361,Magnetic media is destroyed using a degausser with a suitable magnetic field strength and magnetic orientation.
ISM-0362,Follow manufacturer directions for degaussers,Not Assessed,ISM-0362,Product-specific directions provided by degausser manufacturers are followed.
ISM-1641,Physically damage platters after degaussing,Not Assessed,ISM-1641,"Following the use of a degausser, magnetic media is physically damaged by deforming any internal platters."
ISM-0370,Destruction supervised by at least one cleared person,Not Assessed,ISM-0370,The destruction of media is performed under the supervision of at least one cleared person.
ISM-0371,Supervisors ensure destruction completion,Not Assessed,ISM-0371,Personnel supervising the destruction of media supervise its handling to the point of destruction and ensure that the destruction is completed successfully.
ISM-0372,Destruction of accountable material supervised by two cleared personnel,Not Assessed,ISM-0372,The destruction of media storing accountable material is performed under the supervision of at least two cleared personnel.
ISM-0373,Supervise accountable material destruction and sign certificate,Not Assessed,ISM-0373,"Personnel supervising the destruction of media storing accountable material supervise its handling to the point of destruction, ensure that the destruction is completed successfully and sign a destruction certificate afterwards."
ISM-0839,Do not outsource destruction of accountable material,Not Assessed,ISM-0839,The destruction of media storing accountable material is not outsourced.
ISM-0840,Use certified services for non-accountable material destruction when outsourced,Not Assessed,ISM-0840,"When outsourcing the destruction of media storing non-accountable material, a National Association for Information Destruction AAA certified destruction service with endorsements, as specified in ASIO’s Protective Security Circular-167, is used."
ISM-0374,Media disposal processes maintained,Not Assessed,ISM-0374,"Media disposal processes, and supporting media disposal procedures, are developed, implemented and maintained."
ISM-0378,Remove labels/markings before disposal,Not Assessed,ISM-0378,"Labels and markings indicating the owner, sensitivity, classification or any other marking that can associate media with its prior use are removed prior to its disposal."
ISM-0375,Formal decision to release media after sanitisation/destruction,Not Assessed,ISM-0375,"Following sanitisation, destruction or declassification, a formal administrative decision is made to release media, or its waste, into the public domain."
ISM-1743,Use vendors committed to Secure by Design for OS vendors,Not Assessed,ISM-1743,"Vendors that have demonstrated a commitment to Secure by Design and Secure by Default principles and practices, including secure programming practices and either memory-safe programming languages or less preferably memory-safe programming practices, are used for operating systems."
ISM-1407,Use latest or previous OS release,Not Assessed,ISM-1407,"The latest release, or the previous release, of operating systems are used."
ISM-1408,Use 64-bit OS versions where supported,Not Assessed,ISM-1408,"Where supported, 64-bit versions of operating systems are used."
ISM-1406,Use Standard Operating Environments (SOEs),Not Assessed,ISM-1406,SOEs are used for workstations and servers.
ISM-1608,Scan third-party SOEs for malicious code/configs,Not Assessed,ISM-1608,SOEs provided by third parties are scanned for malicious code and configurations.
ISM-1588,Review and update SOEs at least annually,Not Assessed,ISM-1588,SOEs are reviewed and updated at least annually.
ISM-1914,Approved OS configurations maintained,Not Assessed,ISM-1914,"Approved configurations for operating systems are developed, implemented and maintained."
ISM-1409,Harden OS using ASD/vendor guidance (most restrictive),Not Assessed,ISM-1409,"Operating systems are hardened using ASD and vendor hardening guidance, with the most restrictive guidance taking precedence when conflicts occur."
