ISM Controls,,,,,,,,,,,,,,,Scoping Considerations,,,Provider Responsibilities,,,Consumer Responsibilities,,,
Guideline,Section,Topic,Identifier,Revision,Updated,NC,OS,P,S,TS,ML1,ML2,ML3,Description,"Administration
Environment","Cloud Production -
Common Controls ","Cloud Production -
Service Specific","Provider
Responsibility","Implementation
Status","Implementation
Comments","Consumer
Responsibility","Consumer Implementation
Required","Consumer Configuration
Required","Consumer
Guidance"
Guidelines for procurement and outsourcing,Managed services and cloud services,Access to systems by service providers,ISM-1576,4,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"If an organisation’s systems are accessed or administered by a service provider in an unauthorised manner, the organisation is immediately notified.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to contractual arrangements between the CSP and their customers as well as the CSP and their outsourced third-party providers,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security documentation,Development and maintenance of cyber security documentation,Cyber security strategy,ISM-0039,6,Dec-22,Yes,Yes,Yes,Yes,Yes,No,No,No,"A cyber security strategy is developed, implemented and maintained.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security documentation,Development and maintenance of cyber security documentation,Approval of cyber security documentation,ISM-0047,6,Dec-25,Yes,Yes,Yes,Yes,Yes,No,No,No,Organisational-level cyber security documentation is approved by the chief information security officer while system-specific cyber security documentation is approved by the system’s authorising officer.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security documentation,Development and maintenance of cyber security documentation,Approval of cyber security documentation,ISM-1739,0,Mar-22,Yes,Yes,Yes,Yes,Yes,No,No,No,A system’s security architecture is approved prior to the development of the system.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security documentation,Development and maintenance of cyber security documentation,Maintenance of cyber security documentation,ISM-0888,7,Dec-25,Yes,Yes,Yes,Yes,Yes,No,No,No,Cyber security documentation is reviewed at least annually and includes a ‘current as at [date]’ or equivalent statement.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security documentation,Development and maintenance of cyber security documentation,Communication of cyber security documentation,ISM-1602,2,Dec-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"Cyber security documentation, including notification of subsequent changes, is communicated to all stakeholders.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security documentation,System-specific cyber security documentation,System security plan,ISM-0041,6,Jun-24,Yes,Yes,Yes,Yes,Yes,No,No,No,"Systems have a system security plan that includes an overview of the system (covering the system’s purpose, the system boundary and how the system is managed) as well as an annex that covers applicable controls from this document and any additional controls that have been identified and implemented.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security documentation,System-specific cyber security documentation,Cyber security incident response plan,ISM-0043,5,Sep-23,Yes,Yes,Yes,Yes,Yes,No,No,No,"Systems have a cyber security incident response plan that covers the following:
• guidelines on what constitutes a cyber security incident
• the types of cyber security incidents likely to be encountered and the expected response to each type
• how to report cyber security incidents, internally to an organisation and externally to relevant authorities
• other parties which need to be informed in the event of a cyber security incident
• the authority, or authorities, responsible for investigating and responding to cyber security incidents
• the criteria by which an investigation of a cyber security incident would be requested from a law enforcement agency, the Australian Signals Directorate or other relevant authority
• the steps necessary to ensure the integrity of evidence relating to a cyber security incident
• system contingency measures or a reference to such details if they are located in a separate document.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security documentation,System-specific cyber security documentation,Change and configuration management plan,ISM-0912,6,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"Systems have a change and configuration management plan that includes:
• the establishment and maintenance of authorised baseline configurations for systems
• what constitutes routine and urgent changes to the configuration of systems
• how changes to the configuration of systems will be requested, tracked and documented
• who needs to be consulted prior to routine and urgent changes to the configuration of systems
• who needs to approve routine and urgent changes to the configuration of systems
• who needs to be notified of routine and urgent changes to the configuration of systems
• what additional change management and configuration management processes and procedures need to be followed before, during and after routine and urgent changes to the configuration of systems.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security documentation,System-specific cyber security documentation,Continuous monitoring plan,ISM-1163,10,Sep-23,Yes,Yes,Yes,Yes,Yes,No,No,No,"Systems have a continuous monitoring plan that includes:
• conducting vulnerability scans for systems at least fortnightly
• conducting vulnerability assessments and penetration tests for systems prior to deployment, including prior to deployment of significant changes, and at least annually thereafter
• analysing identified vulnerabilities to determine their potential impact
• implementing mitigations based on risk, effectiveness and cost.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security documentation,System-specific cyber security documentation,Security assessment report,ISM-1563,1,Jun-22,Yes,Yes,Yes,Yes,Yes,No,No,No,"At the conclusion of a security assessment for a system, a security assessment report is produced by the assessor and covers:
• the scope of the security assessment
• the system’s strengths and weaknesses
• security risks associated with the operation of the system
• the effectiveness of the implementation of controls
• any recommended remediation actions.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security documentation,System-specific cyber security documentation,Plan of action and milestones,ISM-1564,0,May-20,Yes,Yes,Yes,Yes,Yes,No,No,No,"At the conclusion of a security assessment for a system, a plan of action and milestones is produced by the system owner.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for physical security,Facilities and systems,Physical access to systems,ISM-1973,0,Dec-24,Yes,No,No,No,No,No,No,No,Non-classified systems are secured in suitably secure facilities.,Applicable with the assessor to confirm a suitable physical security certification report exists,Applicable with the assessor to confirm a suitable physical security certification report exists,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for physical security,Facilities and systems,Physical access to systems,ISM-0810,7,Dec-24,No,Yes,Yes,Yes,Yes,No,No,No,Classified systems are secured in facilities that meet the requirements for a security zone suitable for their classification.,Applicable with the assessor to confirm a suitable physical security certification report exists,Applicable with the assessor to confirm a suitable physical security certification report exists,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for physical security,Facilities and systems,"Physical access to servers, network devices and cryptographic equipment",ISM-1974,0,Dec-24,Yes,No,No,No,No,No,No,No,"Non-classified servers, network devices and cryptographic equipment are secured in suitably secure server rooms or communications rooms.",Applicable with the assessor to confirm a suitable physical security certification report exists,Applicable with the assessor to confirm a suitable physical security certification report exists,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for physical security,Facilities and systems,"Physical access to servers, network devices and cryptographic equipment",ISM-1053,5,Dec-24,No,Yes,Yes,Yes,Yes,No,No,No,"Classified servers, network devices and cryptographic equipment are secured in server rooms or communications rooms that meet the requirements for a security zone suitable for their classification.",Applicable with the assessor to confirm a suitable physical security certification report exists,Applicable with the assessor to confirm a suitable physical security certification report exists,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for physical security,Facilities and systems,"Physical access to servers, network devices and cryptographic equipment",ISM-1975,0,Dec-24,Yes,No,No,No,No,No,No,No,"Non-classified servers, network devices and cryptographic equipment are secured in suitably secure security containers.",Applicable with the assessor to confirm a suitable physical security certification report exists,Applicable with the assessor to confirm a suitable physical security certification report exists,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for physical security,Facilities and systems,"Physical access to servers, network devices and cryptographic equipment",ISM-1530,3,Dec-24,No,Yes,Yes,Yes,Yes,No,No,No,"Classified servers, network devices and cryptographic equipment are secured in security containers suitable for their classification taking into account the combination of security zones they reside in.",Applicable with the assessor to confirm a suitable physical security certification report exists,Applicable with the assessor to confirm a suitable physical security certification report exists,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for physical security,Facilities and systems,"Physical access to servers, network devices and cryptographic equipment",ISM-0813,5,Dec-24,Yes,Yes,Yes,Yes,Yes,No,No,No,"Server rooms, communications rooms and security containers are not left in unsecured states.",Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for physical security,Facilities and systems,"Physical access to servers, network devices and cryptographic equipment",ISM-1074,4,Dec-24,Yes,Yes,Yes,Yes,Yes,No,No,No,"Keys or equivalent access mechanisms to server rooms, communications rooms and security containers are appropriately controlled.",Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for physical security,Facilities and systems,Physical access to network devices in public areas,ISM-1296,4,Jun-22,Yes,Yes,Yes,Yes,Yes,No,No,No,Physical security is implemented to protect network devices in public areas from physical damage or unauthorised access.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for physical security,Facilities and systems,Bringing radio frequency and infrared devices into facilities,ISM-1543,4,Dec-22,No,No,No,Yes,Yes,No,No,No,"An authorised RF and IR device register for SECRET and TOP SECRET areas is developed, implemented, maintained and verified on a regular basis.",Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for physical security,Facilities and systems,Bringing radio frequency and infrared devices into facilities,ISM-0225,3,Sep-21,No,No,No,Yes,Yes,No,No,No,Unauthorised RF and IR devices are not brought into SECRET and TOP SECRET areas.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for physical security,Facilities and systems,Bringing radio frequency and infrared devices into facilities,ISM-0829,4,Mar-19,No,No,No,Yes,Yes,No,No,No,Security measures are used to detect and respond to unauthorised RF devices in SECRET and TOP SECRET areas.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for physical security,Facilities and systems,Bringing photographic and video recording devices into facilities,ISM-2069,0,Sep-25,No,No,No,Yes,Yes,No,No,No,"An authorised photographic and video recording device register for SECRET and TOP SECRET areas is developed, implemented, maintained and verified on a regular basis.",Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for physical security,Facilities and systems,Bringing photographic and video recording devices into facilities,ISM-2070,0,Sep-25,No,No,No,Yes,Yes,No,No,No,Unauthorised photographic and video recording devices are not brought into SECRET and TOP SECRET areas.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for physical security,Facilities and systems,Bringing medical devices into facilities,ISM-2007,0,Mar-25,No,No,No,Yes,Yes,No,No,No,"An authorised medical device register for SECRET and TOP SECRET areas is developed, implemented, maintained and verified on a regular basis.",Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for physical security,Facilities and systems,Bringing medical devices into facilities,ISM-2008,0,Mar-25,No,No,No,Yes,Yes,No,No,No,"Medical devices that are authorised to be brought into SECRET and TOP SECRET areas meet, at a minimum, the following criteria:
• are listed on the Australian Register of Therapeutic Goods
• have been prescribed by a legally qualified medical practitioner
• have been commercially purchased within Australia
• do not have inbuilt cellular connectivity
• are capable of operating independently of mobile devices
• where possible, have Wi-Fi, Bluetooth and other forms of wireless connectivity disabled when operating within SECRET and TOP SECRET areas.",Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for physical security,Facilities and systems,Bringing medical devices into facilities,ISM-2009,0,Mar-25,No,No,No,Yes,Yes,No,No,No,Unauthorised medical devices are not brought into SECRET and TOP SECRET areas.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for physical security,Facilities and systems,Preventing observation by unauthorised people,ISM-0164,3,Dec-21,Yes,Yes,Yes,Yes,Yes,No,No,No,"Unauthorised people are prevented from observing systems, in particular workstation displays and keyboards, within facilities.",Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for physical security,IT equipment and media,Securing IT equipment and media,ISM-0161,6,Jun-24,Yes,Yes,Yes,Yes,Yes,No,No,No,IT equipment and media are secured when not in use.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Cyber security awareness training,Providing cyber security awareness training,ISM-0252,7,Mar-22,Yes,Yes,Yes,Yes,Yes,No,No,No,"Cyber security awareness training is undertaken annually by all personnel and covers:
• the purpose of the cyber security awareness training
• security appointments and contacts
• authorised use of systems and their resources
• protection of systems and their resources
• reporting of cyber security incidents and suspected compromises of systems and their resources.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to personnel using and supporting the administration environment,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Cyber security awareness training,Providing cyber security awareness training,ISM-1565,0,Jun-20,Yes,Yes,Yes,Yes,Yes,No,No,No,Tailored privileged user training is undertaken annually by all privileged users.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to personnel using and supporting the administration environment,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Cyber security awareness training,Providing cyber security awareness training,ISM-2022,1,Dec-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"A cyber security awareness training register is developed, implemented and maintained.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to personnel using and supporting the administration environment,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Cyber security awareness training,Managing and reporting suspicious changes to banking details or payment requests,ISM-1740,0,Mar-22,Yes,Yes,Yes,Yes,Yes,No,No,No,"Personnel dealing with banking details and payment requests are advised of what business email compromise is, how to manage such situations and how to report it.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to personnel using and supporting the administration environment,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Cyber security awareness training,Managing and reporting suspicious requests to disclose or change user account details,ISM-2071,0,Sep-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"Personnel dealing with user account details are advised of what social engineering attacks are, how to manage such situations and how to report them.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to personnel using and supporting the administration environment,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Cyber security awareness training,Reporting suspicious contact via online services,ISM-0817,4,Jan-20,Yes,Yes,Yes,Yes,Yes,No,No,No,Personnel are advised of what suspicious contact via online services is and how to report it.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to personnel using and supporting the administration environment,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Cyber security awareness training,Posting work information to online services,ISM-0820,5,Jan-20,Yes,Yes,Yes,Yes,Yes,No,No,No,Personnel are advised to not post work information to unauthorised online services and to report cases where such information is posted.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to personnel using and supporting the administration environment,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Cyber security awareness training,Posting work information to online services,ISM-1146,3,Dec-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Personnel are advised to maintain separate work and personal user accounts for online services.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to personnel using and supporting the administration environment,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Cyber security awareness training,Posting personal information to online services,ISM-0821,3,Oct-19,Yes,Yes,Yes,Yes,Yes,No,No,No,Personnel are advised of security risks associated with posting personal information to online services and are encouraged to use any available privacy settings to restrict who can view such information.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to personnel using and supporting the administration environment,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Cyber security awareness training,Sending and receiving files via online services,ISM-0824,2,Sep-18,Yes,Yes,Yes,Yes,Yes,No,No,No,Personnel are advised not to send or receive files via unauthorised online services.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to personnel using and supporting the administration environment,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,System usage policy,ISM-1864,0,Sep-23,Yes,Yes,Yes,Yes,Yes,No,No,No,"A system usage policy is developed, implemented and maintained.",Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,General-purpose artificial intelligence usage policy,ISM-2074,0,Dec-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"A general-purpose artificial intelligence usage policy is developed, implemented and maintained.",Applicable where administrative endpoints have AI application access,Applicable to personnel using and supporting the administration environment,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Web usage policy,ISM-0258,4,Dec-22,Yes,Yes,Yes,Yes,Yes,No,No,No,"A web usage policy is developed, implemented and maintained.",Applicable where administrative endpoints have web access,Applicable to personnel using and supporting the administration environment,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,System access requirements,ISM-0432,8,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,Access requirements for systems and their resources are documented in their system security plan.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,System access requirements,ISM-0434,8,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"Personnel undergo appropriate employment screening and, where necessary, hold an appropriate security clearance before being granted access to systems and their resources.",Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,System access requirements,ISM-0435,4,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,Personnel receive any necessary briefings before being granted access to systems and their resources.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,System access requirements,ISM-1865,1,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,Personnel agree to abide by system usage policies before being granted access to systems and their resources.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,User identification,ISM-0414,5,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,Personnel granted access to systems and their resources are uniquely identifiable.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,User identification,ISM-0415,3,Aug-19,Yes,Yes,Yes,Yes,Yes,No,No,No,"The use of shared user accounts is strictly controlled, and personnel using such accounts are uniquely identifiable.",Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,User identification,ISM-1583,0,Aug-20,Yes,Yes,Yes,Yes,Yes,No,No,No,Personnel who are contractors are identified as such.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,User identification,ISM-0420,12,Jun-25,No,No,No,Yes,Yes,No,No,No,"Where systems process, store or communicate AUSTEO, AGAO or REL data, personnel who are foreign nationals are identified as such, including by their specific nationality.",Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Unprivileged access to systems,ISM-0405,8,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,Requests for unprivileged access to systems and their resources are validated when first requested.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Unprivileged access to systems,ISM-1852,1,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,Unprivileged access to systems and their resources is limited to only what is required for users and services to undertake their duties.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Unprivileged access to systems,ISM-1566,3,Dec-23,Yes,Yes,Yes,Yes,Yes,No,No,No,Use of unprivileged access is centrally logged.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Unprivileged access to systems by foreign nationals,ISM-0409,8,Jun-22,No,No,No,Yes,Yes,No,No,No,"Foreign nationals, including seconded foreign nationals, do not have access to systems that process, store or communicate AUSTEO or REL data unless effective controls are in place to ensure such data is not accessible to them.",Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Unprivileged access to systems by foreign nationals,ISM-0411,7,Jun-22,No,No,No,Yes,Yes,No,No,No,"Foreign nationals, excluding seconded foreign nationals, do not have access to systems that process, store or communicate AGAO data unless effective controls are in place to ensure such data is not accessible to them.",Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Privileged access to systems,ISM-1507,4,Jun-25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Requests for privileged access to systems and their resources are validated when first requested.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Privileged access to systems,ISM-1508,4,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Privileged access to systems and their resources is limited to only what is required for users and services to undertake their duties.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Privileged access to systems,ISM-1175,6,Sep-24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Privileged user accounts (excluding those explicitly authorised to access online services) are prevented from accessing the internet, email and web services.",Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Privileged access to systems,ISM-1883,1,Sep-24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Privileged user accounts explicitly authorised to access online services are strictly limited to only what is required for users and services to undertake their duties.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Privileged access to systems,ISM-1649,1,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Just-in-time administration is used for the administration of systems and their resources.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Privileged access to systems,ISM-0445,8,Sep-24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Privileged users are assigned a dedicated privileged user account to be used solely for duties requiring privileged access.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Privileged access to systems,ISM-1263,5,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Unique privileged user accounts are used for administering individual server applications.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Privileged access to systems,ISM-1509,3,Dec-23,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Privileged access events are centrally logged.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Privileged access to systems,ISM-1650,3,Sep-24,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Privileged user account and security group management events are centrally logged.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Privileged access to systems by foreign nationals,ISM-0446,5,Jun-21,No,No,No,Yes,Yes,No,No,No,"Foreign nationals, including seconded foreign nationals, do not have privileged access to systems that process, store or communicate AUSTEO or REL data.",Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Privileged access to systems by foreign nationals,ISM-0447,4,Jun-21,No,No,No,Yes,Yes,No,No,No,"Foreign nationals, excluding seconded foreign nationals, do not have privileged access to systems that process, store or communicate AGAO data.",Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Suspension of access to systems,ISM-0430,8,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,Access to systems and their resources are removed or suspended the same day personnel no longer have a legitimate requirement for access.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Suspension of access to systems,ISM-1591,1,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,Access to systems and their resources are removed or suspended as soon as practicable when personnel are detected undertaking malicious activities.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Suspension of access to systems,ISM-1404,5,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,Unprivileged access to systems and their resources are disabled after 45 days of inactivity.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Suspension of access to systems,ISM-1648,2,Jun-25,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Privileged access to systems and their resources are disabled after 45 days of inactivity.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Suspension of access to systems,ISM-1647,2,Jun-25,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Privileged access to systems and their resources are disabled after 12 months unless revalidated.,Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Recording authorisation for personnel to access systems,ISM-0407,6,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"A secure record is maintained for the life of systems and their resources that covers the following for each user:
• their user identification
• their signed agreement to abide by system usage policies
• who authorised their access
• when their access was granted
• the level of access they were granted
• when their access, and their level of access, was last reviewed
• when their level of access was changed, and to what extent (if applicable)
• when their access was withdrawn (if applicable).",Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for personnel security,Access to systems and their resources,Temporary access to systems,ISM-0441,9,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"When personnel are granted temporary access to systems and their resources, effective controls are put in place to restrict their access to only data required for them to undertake their duties.",Applicable,Applicable,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
